Line,Roche-Mahdi (2007) OF Edition,Psaki (1991) Translation,Roche-Mahdi (2007) Translation,Word Order Priority Translation,My Translation,Notes,Sound Priority Translation,Sound Priority Translation Notes
2572,Dont ai paor de ma nature.,I’m afraid my sex will show.,I am afraid my sex will be discovered.,,I’m afraid of my nature.,,I fear the nature I express.,The more literal meaning of this verse has been stretched to accomodate the rhyme.
2573,Conjoie moult diversement.,I want to act differently now.,My idea of fun is very different.,,I experience pleasure so differently.,,So differently do I experience pleasure.,
2574,"En cort aloie conversant,",I used to frequent the court;,"I have been spending my time at court,",,"At court, I used to go cavorting.","See verse 2525 for another use of ""converser."" This connection would seem to compare the woods and the court as similarly wild spaces.","At court, I was at my leisure.",
2575,Tolt cho metrai ariere dos,"but all this I have put behind me,",but I will put all this behind me,,"I will put all of this behind me,",,"I'll put all of this behind me, I suppose,",The more literal meaning of this verse has been stretched to accomodate the rhyme.
2576,Et viverai dont a repos.,and will live in peace.,and live very quietly from now on.,and I will live so at ease.,"and so, I will live at ease.",,And live this way in repose.,
2577,Cis Dameldex qui me fist naistre,The Almighty Who gave me life,The good Lord who created me,,The Lord who engendered me,,The Lord who had me engendered,
2578,Me puet bien governer et paistre:,can take care of me and feed me:,will be my shepherd and my guide.,can well govern and shepherd me:,can govern and shepherd me well:,,can govern me well and be my shepherd:,
2579,Queles! ja n’ai jo oï conté*,for have I not heard it said,Haven’t I heard it said,,Doggone it! Haven’t I heard it recounted,"My translation is a bit silly here, but ""queles"" or ""chaëles"" is an interjection of exasperation similar to ""For Heaven's sake!"" But also, ""chaële"" is the diminutive for a dog. Thorpe gives ""Que"" and says ""This line is hardly legible,"" so without access to the manuscript, I will take some liberties.",Doggone it! Haven't I heard it recounted,
2580,Qu’il est plains de si grant bonté,that He is of such great goodness,that in his great goodness,,that he is full of such great bounty,,that in him a great bounty is amounted,
2581,Et done a tolte creäture,that He gives to all His creatures,he dispenses of his bounty to each creature,,and gives to every creature,,and that he gives to every creature,
2582,Sofisalment lonc sa nature?,what their natures need?,according to its nature?,,sufficiently according to his nature?,,sufficiently according to his nature?,
2583,Fu ainc mais feme si tanee,Was ever a woman so tormented,Was any female ever so tormented,,Was any woman ever so tanned,"""Tanee"" can mean both ""tanned"" and ""tormented"". I kept tanned because the text spends a lot of time describing the tanning of Silence's skin. Plus to ""tan someone's hide"" is to punish them similar to the way Silence is being physically corrected by his/her guardians, and ""tanning"" may be another reference to the craftwork performed on Silence's body by the hands of Nurture.",Was any woman ever so tanned,
2584,"De vil barat, ne enganee",and deceived by base treachery?,or deceived by such vile fraud,"by such vile churning, or engineered,","or engineered by such vile churning,","With ""engineered"" I'm connecting ""engan"", which only refers to ""tromperie"", with ""engin"" which can refer to ""tromperie"" as well as ""ingéniosité"". Silence has been fooled and engineered by disingenuous actors. For ""barat"" (meaning ""commerce,"" ""agitation/confusion,"" ""tromperie,"" or ""voleur""), we also have the verb ""barater"" meaning ""battre le crème dans une baratte,"" and ""churning"" is a term that can be used to refer to a type of financial securities fraud. This may be a big stretch on my part, but it's fun to make words work overtime.",or such vile deceit made to withstand,
2585,Que cho fesist par convoitise?,To act out of greed,as to do what I did out of greed?,,that she might act out of covetousness?,,that she might act with covetous eyes?,The more literal meaning of this verse has been stretched to accomodate the rhyme.
2586,Nel puis savoir en nule guise.”,I cannot tolerate in any way.”,I certainly never heard of one!”,,I cannot think of one in such a guise.”,"The word ""guise"" can be easily translated to English as ""guise"", but in Old/Middle French with the alternative spellings ""guige"" or ""guiche"", this word can also refer to a ""courroie qui sert à porter l'écu, le cor, etc."" or a ""bande servant de cache-sexe."" In one word, we have connotations of heraldry, genitals, and dissimulation.","I cannot think of one in such a guise.""",
2587,Quant Noreture cho oï,"When Nurture heard this,","When Nurture heard this,",,"When Nurture heard this,",,"When Nature heard this,",
2588,Cuidiés qu’ele s’en esjoï?,do you think she was happy about it?,do you think she was overjoyed?,,do you think that she rejoiced over it?,,do you think she felt bliss?,
2589,Nenil! anchois fremist et groce.,"Not at all! Indeed, she shuddered and raged.","Hardly! on the contrary, she quivered and scolded.",,Not at all! in fact she quivered and grumbled,,Not at all! in fact she did quiver and carp,
2590,Enviers Nature se coroce,She got angry with Nature,She was furious with Nature.,Toward Nature she was caustic,"She was caustic toward Nature,","With ""caustic"" I'm trying to pull in the double meaning of sarcastic/angry and corrosive, which is related etymologically with ""corrocier"".","Toward Nature she was sharp,",
2591,Et si l’esgarde surement.,and looked at her bitterly.,She looked her straight in the eye,,and she glared at her so assuredly,,and so assuredly at her she glared.,
2592,Puis li a dit moult durement:,"Then she told her very harshly,","and said most severely,",,Then she said to her so harshly:,,Then harshly at her she blared:,
2593,"“Lassciés ester ma noreçon,","“Curse you, Nature,","“Nature, leave my nursling alone,","""Leave be my nursling,","“Leave my nursling be,",,"""Leave my nursling alone,",
2594,"Nature, a la maleÿçon.",leave my nursling alone.,or I will put a curse on you!,,"Nature, a curse upon you!",,"Nature, on you a malison!","""Malison"" is a more archaic word meaning a ""curse"". ""Malediction"" is more common today, but ""malison"" allows me to more closely approach the original verse and maintain the end rhyme."
2595,Jo l’ai tolte desnaturee.,I have completely denatured her.,I have completely dis-natured her.,,I have totally denatured her.,"It's interesting that Nurture refers to Silence in the feminine form considering Nurture is trying to reform Silence into a young man. Note the feminine ending used here for ""desnaturee"" and ""duree"" in the next verse.",I have totally denatured her.,
2596,N’avra ja voir o vus duree.,She will never succumb to you.,She will always resist you.,She will truly endure you.,"Truly, she will endure you.",,"Truly, you will be endured by her.",
2597,Se ne lassciés icest anter,If you do not leave off these visits,"If you don’t stop haunting her,",,"If you don’t leave off this haunting,",,"If you don't leave off this haunting,",
2598,Bien vos porés al loig vanter,you will be able to boast only,"you’ll have small reason for vanity left,",you won't be able to vaunt for long,you won’t be vaunting for long,,you won't be long vaunting,
2599,Se jo ne fac par noreture,that through environment I can make,if I make a thousand people,when I make by nurture,when I by means of nurture make,,when I make — by means of nurture —,
2600,.m. gens ovrer contre nature.,a thousand people work against nature.,work against their nature through nurture.,,a thousand people work against nature.,,a thousand people work against nature.,
2601,"Jo noris tres bien, c’est la some,","All in all, I easily train",I have succeeded very well,,I nourish very well; this is the sum,,I nourish very well; this is the sum,
2602,D’un noble enfant un malvais home.,a noble child into a bad man.,in turning a noble child into a defective male.,,of a noble child made unwholesome man.,"I've chosen ""unwholesome"" to communicate both physical and moral deficiency but also to convey Silence's incompleteness.",of a noble child turned man unwholesome.,
2603,Jo te desferai tolt ton conte.,I will undo all your speech.,I will undo all your work.,,I will undo all of your account.,"We might see ""conte"" implying both a quantity and a narrative here.",I will undo your whole claim.,
2604,"Nature, envoies o ta honte.”","Nature, begone, and take the child’s shame away with you.”","Nature, begone in disgrace!”",,"Nature, be on your way or shame on you.”",,"Nature, be on your way in shame.""",
2605,Quant Nature s’en fu alee,"When Nature had gone away,",When Nature had gone away,,When Nature had gone away,,When Nature was not around,
2606,Et o le roce a devalee,descending the rock where,and descended from the rock,and from the rock had descended,and had descended from the rock,,and from the rock had gone down,
2607,"U Noreture ot si tencié,","Nurture had so argued,","where Nurture had attacked her so,",,"where Nurture had so contended,",,"where Nurture had so scolded,",
2608,Es vos l’estor recommencié,behold the struggle begun again,"the battle for Silence began again,",,see how the restoration commenced,"""Estor"" can be a ""tournoi"" or a ""combat"" as previous translations interpret it, but ""estor"" is also ""équipement"" or ""provisions"" and is the etymological origin of the English word ""store."" I see Nurture and Reason here taking back their project from Nature.",see how the restoration unfolded,
2609,Seur Silence: car la Raisons,over Silence: for Reason,"as you shall hear, for Reason",,to reassure Silence: for Reason,"By interpreting ""seur"" here as ""sure"" rather than ""over"" (as in ""sur"" in Modern French), Silence can be seen as a more active participant in this dialogue. This argument is about Silence, but importantly, it is Silence who must be convinced here.",to reassure Silence: for Reason,
2610,"Li monstre, et dist les oquoisons",showed her and told him why,"stated her case, citing examples",,showed him and told him the causes,"Silence's father gives only one ""oquoison"" (see verses 2442, 2450, & 2455): King Ebain's disinheritance of all English women, but Reason provides Silence with other more personal ""oquoisons"" including the benefits of leading a masculine identity.",showed him and told him the reason,
2611,Que poi li valt mains de la mort,it would be very nearly death to him,"as to why, if she abandoned her nurture",,for which he would go nearly into the hands of death,,for which he would go nearly into death's hands,
2612,Se il s’acostume et amort,to study and desire,"to take up the habits of nature,",,if he accustomed and mortified himself,See verse 2552 for a repeat of this phrasing.,if he succombed to these demands,The more literal meaning of this verse has been stretched to accomodate the rhyme.
2613,A deguerpir sa noreture,to abandon his upbringing,it would be almost as bad,,to renounce his nurture,See verse 2490 for a repeat of this verb.,to renounce his nurture,
2614,Por faire cho que violt Nature. /,in order to do as Nature wished:,as killing herself.,,in order to do that which Nature desired.,,in order to do what was desired by Nature.,
2615,"“Croi mon consel, amis Silence,","“Believe my advice, friend Silence,","“Believe what I say, friend Silence,",,"“Heed my counsel, friend Silence,",,"""Heed my counsel, friend Silence,",
2616,Et aies en toi abstinence.,and embrace abstinence.,and forbear!,and have abstinence in yourself.,and abstain.,,and hold yourself in abstinence.,
2617,Fai de ton cuer une ferté.,Make your heart a fortress.,"Fortify your heart,",,Make of your heart a fortress.,"I would love to find a word that factored in the ""fierté"" meaning of ""ferté"" as well.",Make of your heart a fortress.,
2618,"S’a lui te prent, de la verté,","If Nature, who torments you now,","for if Nature, who is now pressing you so hard,",,"If she pressured you, in truth,",,"If she pressured you, more or less,",
2619,"Nature, qui t’angoisce adés,","takes you to her, in truth","takes it from you, believe me,",,"Nature, who is agonizing you plenty,",,"Nature, who is agonizing you plenty,",
2620,Ja n’ieres mais vallés apriés.,You will never be a boy again.,you will never train for knighthood afterwards.,,Never again will you be a boy thereafter.,,Never again thereafter will you a boy be.,
2621,Tolt perdrés cheval et carete.,You will lose both horse and cart.,You will lose your horse and chariot.,,You will lose horse and cart.,,You will lose horse and cart.,
2622,Ne cuidiés pas li rois vos mete,Do not think that the king will give you,Do not think the king will go back on his word,,Do not think that the king will deem you,,Do not think that on you the king will impart,
2623,"En l’onor, por estre parjure,","your fief for having lied,","and acknowledge you as rightful heir,",,honorable for having perjured,,honor as you perjure,
2624,S’il aperçoit vostre nature.”,if he perceives your true nature.”,when he finds out your true nature.”,,if he were to perceive your nature.”,"Both Psaki and Roche-Mahdi use the phrase ""true nature"" here, but that ""true"" is a modern insertion that I think goes too far to suggest that Silence's nature can be so easily determined.","if he were to perceive your nature.""",
2625,"Raisons ja od li tant esté,",Reason stayed with him,Reason stayed with him for so long,,Reason stayed with him awhile,,Reason stayed awhile with him,
2626,Se li a tant admonesté,And admonished him until,and admonished him so severely,,and had so admonished him,,and had so admonished him,
2627,Que Silences a bien veü,Silence understood clearly,that Silence understood very well,,that Silence saw clearly,,that Silence clearly saw,
2628,Que fol consel avoir creü,that he had believed foolish advice,he had listened to bad advice,,that he had believed foolish counsel,,that believing the counsel was a flaw,
2629,Quant onques pensa desuser,when he considered putting off,ever to think of doing away,,when he ever thought to disuse,,when he ever thought to disuse,
2630,"Son bon viel us et refuser,",and denying his good old custom,with his good old ways,,"and to refuse his good old custom,",,"his good old custom and to refuse,",
2631,Por us de feme maintenir.,to take up that of a woman.,to take up female habits.,,in order to maintain the customs of women.,,so that the customs of women he might maintain.,
2632,Donques li prent a sovenir,Then he began to remember,Then he began to consider,,Then that made him remember,,Then that put in his brain,
2633,Des jus c’on siolt es cambres faire,"the games people play in private,",the pastimes of a woman’s chamber —,the games that people alone in chambers play,the games people play alone in chambers,"I wonder why the spelling of ""giu"" has changed here to ""jus""? Compare with verses 2565 and 2649. Is this a play on the pronoun ""je"" which along with other variants can be spelled ""ju"" or ""jo"" as we see elsewhere in this passage? Is the author suggesting that these games are exercises that create gendered ""jus""?",the games people alone in chambers play,
2634,"Dont a oï sovent retraire,","which he had often heard described,",which he had often heard about —,"of which he had heard often recounted,","of which he had often heard recounted,","Note how the narrator also uses this verb ""retraire"" when discussing boys games earlier in this passage. See verse 2565.",of which he had often heard others say...,
2635,Et poise dont en son corage,and he weighed in his heart,and weighed in his heart of hearts,,and he weighed this in his heart,,"and in his heart, this he weighs",
2636,"Tolt l’us de feme a son usage,","the woman’s role against his own,","all female customs against his current way of life,",,"all the customs of women against his usage,",,"against his usage women and all their ways,",
2637,Et voit que miols valt li us d’ome,and saw that a man’s life is better,"and saw, in short, that a man’s life",and he saw that worth more were the customs of men,and he saw that the customs of men were worth more,,and he sees that the customs of men are worth more,
2638,"Que l’us de feme, c’est la some.","than a woman’s, all things considered.",was much better than that of a woman.,,"than the customs of women, that is the sum.",,than the customs of women; that is the score.,
2639,"“Voire,” fait il, “a la male eure","“Truly,” he said, “in an evil hour","“Indeed,” he said, “it would be too bad",,"“Look,” he said, “in a malign hour","With the exclamation ""voire"", Silence means to say ""truly"" or ""indeed"" (and not the command ""look"") as Psaki and Roche-Mahdi have respectively translated this verse, but in contemporary English, ""look"" is often used to draw attention to a point someone is trying to make. By translating this word as ""look"", we can see Silence as asserting his/her own point of view rather than being passively swayed by the admonishments of others.","""Look,"" he said, ""in a malign hour",
2640,"Irai desos, quant sui deseure.","will I go underneath, when I am on top.",to step down when I’m on top.,,"will I bottom, when I’m a top.","I'm trying to use ""bottom"" and ""top"" here in the sense of queer slang to combine Silence's sexual/gender role with his position in the social hierarchy. I'm sure this double entendre has been clear to readers for a long time, but leaning into this lingo makes the verse smoother in translation I think.","will I step down, when I have power",The more literal meaning of this verse has been stretched to accomodate the rhyme.
2641,"Deseure sui, s’irai desos?","I am on top now, and I would have to go beneath.","If I’m on top, why should I step down?",,"I’m on top, am I going to bottom out?",,"I'm on top, will I be bowed?",The more literal meaning of this verse has been stretched to accomodate the rhyme.
2642,Or sui jo moult vallans et pros.,"Now I am most valorous and strong,",Now I am honored and valiant.,,Now I am so valiant and proud.,,Now I am so valiant and proud.,
2643,"Nel sui, par foi, ains sui honis","but I wouldn’t be any longer; rather, in faith,","No I’m not, upon my word — I’m a disgrace",,"No I’m not, in faith; rather I’m ashamed.",,"No I'm not, in faith; rather I feel shame",
2644,Quant as femes voel estre onis.,I’d be shamed if I wanted to be like the women.,if I want to be one of the women.,,"When I wanted to be one with the women,",,when with women I seek to be one and the same.,
2645,Gel pensai por moi aäsier.,I thought of it for my own pleasure.,"I was trying to make life easy for myself,",,in that way I thought to put myself at ease.,,"In that way, I thought I'd live in bliss,",
2646,"Trop dure boche ai por baisier,","I have a mouth too hard for kissing,","but I have a mouth too hard for kisses,",,"I have too hard a mouth for kissing,",,"but I have too hard a mouth to kiss,",
2647,Et trop rois bras por acoler.,and arms too rough for embracing.,and arms too rough for embraces.,,and too raw of arms for accolades.,"There is a lot that can be done with this verse. First, the verb ""acoler"" can refer to any embrace about the neck, but here I find especially apt the use of ""acoler"" in the process of being knighted. I have tried to accommodate both amorous embraces and knighthood with ""accolades"", but I think more can be done there. Then, the adjective ""rois"" can mean ""dur""/""ferme,"" ""impétueux""/""violent,"" ""rudement,"" and I feel like there must be a pun here on ""king"" as well. I've gone with ""raw"" to refer to Silence's body as still being in development. I see Silence lamenting his/her liminal position as she is too hard for lovemaking and he is too fresh for knighthood.",and too raw of arms to embrace.,
2648,On me poroit tost afoler,I would quickly be beaten,One could easily make a fool of me,,One could totally make a fool of me,,One could fill me with disgrace,The more literal meaning of this verse has been stretched to accomodate the rhyme.
2649,"Al giu c’on fait desos gordine,","at the game people play under the covers,","in any game played under the covers,",,"at the game one plays under the curtains,","Although ""gordine"" (or ""cortine"") can refer to the ""couverture"" or the ""rideau qui entoure un lit"", I've decided to go with curtains for two reasons: 1.) to distinguish this word from the others the author uses to play with covering/uncovering literally and metaphorically and 2.) to call extra attention to the sexual innuendo here. The Godefroy dicitonary lists ""gordine"" as a ""femme galante, femme de mauvaise vie."" Plus, the vulva is often described as having ""curtains.""",at the game one plays under the bed-curtain,
2650,Car vallés sui et nient mescine.,"for I am a boy, and not a girl at all.","for I’m a young man, not a girl.",,for I am a boy and in no way a girl.,,for I am a boy and in no way a maiden.,
2651,"Ne voel perdre ma grant honor,","I don’t want to lose my great honor,",I don’t want to lose my high position;,,"I don’t want to lose my high honor,",,"I don't want to lose my high honor,",
2652,Ne la voel tangier a menor.,nor exchange it for a lesser one.,"I don’t want to exchange it for a lesser,",,"nor do I want to touch a lesser,","I've gone with ""touch"" for ""tangier"" here. ""Tangier"" does not seem to appear in any of my reference texts, but I imagine it comes from the Latin ""tangere"" (""to touch"") as ""tangible"" or ""tangent.""","nor do I want to touch one more minor,",
2653,"Ne voel mon pere desmentir,",I don’t want to give the lie to my father;,and I don’t want to prove my father a liar.,,nor do I want to belie my father.,,nor do I want to belie my father.,
2654,Ainz me doinst Dex la mort sentir.,may God let me suffer death sooner.,I would rather have God strike me dead!,,"So, I would rather God should strike me down;",,"So, that God should strike me down I would rather;",
2655,Por quanque puet faire Nature,No matter what Nature can do,"Whatever Nature may do,",,for whatever Nature may do,,"for Nature may do whatever,",
2656,Ja n’en ferai descoverture.”,I will not reveal my secret.”,I will never betray the secret!”,,never will I uncover it.”,"Both Psaki and Roche-Mahdi translate the ""en"" in this verse as ""my/the secret,"" but I prefer to keep the referent for ""en"" more ambiguous.","but I will uncover it never.""",
2657,"Si est li voirs, cho dist l’estorie","This is the truth, according to the story",If what the story that keeps alive,,"If this is the truth, according to the story",,"If this is the truth, according to the story",
2658,"Ki de Silence fait memorie,","which preserves the memory of Silence,",the memory of Silence tell us,,that commits Silence to memory,,that commits Silence to memory,
2659,C’onques ne fu tels abstinence,for never was there such self-control,"is true, you never heard of such forbearance",,there never was such abstinence,,there never was such abstinence,
2660,Com poés oïr de Silence.,as you may hear about Silence.,as was to be found in Silence.,,as you can hear about from Silence.,,as you can hear about from Silence.,
2661,Jo ne di pas qu’il ne pe[n]sast,I won’t say that he didn’t think,I’m not saying that he didn’t,,I am not saying that he was not penanced,,I am not saying that he was not scolded,
2662,"Diversement, et ne tensast /","variously about his dilemma, that conflicting",go through periods of hesitation,,"diversely, or that he did not tender",,"diversely, or that he was not molded",The more literal meaning of this verse has been stretched to accomodate the rhyme.
2663,Diverse cogitatiön,"reflections didn’t war within him,","and inner conflict,",,diverse cognitions,"These verses from the narrator are a bit awkward, but some have commented on Heldris the author as often seeming deliberately verbose and grandiose perhaps to subdue his authority as narrator and add humor to the text. It is worth noting a potential play on words between ""cogitacïon"" meaning ""pensée"" and ""cognacïon"" meaning ""parentée.""",with diverse thinking,
2664,"Com enfant de tel natiön,","as one of such birth might have,","as might be expected in a young person who came of such good stock,",,like a child of such breeding,"I appreciate how ""breeding"" can accommodate both the act of reproduction and the good manners associated with the upper class. ""Natiön"" is working here in the same way.",like a child of such breeding,
2665,Meësmement enfant si tendre.,or as someone who must observe,but who was also a tender child,,especially a child so tender,,especially a child so tender,
2666,Ki doit a tel usage entendre.,such a custom might incline to.,who had to force herself to live that way.,,who had to render such usage.,,who had such usage to render.,The more literal meaning of this verse has been stretched to accomodate the rhyme.
2667,Et cuers s’est une creäture,"The heart is a marvelous creature,",And the human heart is a creature,,And the heart is a creature,,And the heart is a creature,
2668,Mervelles d’estrange nature:,with a very strange nature:,that has a strange and peculiar nature:,,of a marvelously strange nature:,,of a marvelously strange nature:,
2669,"Qu’il pense voir moult largement,","for it thinks very diversely, in truth,","it thinks a great deal,","It thinks, in truth, so abundantly,","In truth, it thinks so abundantly,",,"So abundantly, in truth, it ponders,",
2670,Torne et retourne trop sovent,turning and returning often,turns the deep thoughts it harbors,,It turns and returns too often,,It turns and returns and wanders,The more literal meaning of this verse has been stretched to accomodate the rhyme.
2671,Les larges pensers que requelt,"to the various thoughts it considers,","over and over again, far too often,",,the large thoughts it recollects,,recollecting its large thoughts,
2672,Dont motes foie[e]s se duel[l]t.,because of which it often grieves.,and causes itself a great deal of grief.,,for which it grieves most of the time.,,for which it ties itself in knots.,The more literal meaning of this verse has been stretched to accomodate the rhyme.
2673,Et por cho di jo de Scilence,"And so I say of Silence,",And that is why I say that Silence,,"And for this, I say of Silence",,"And for this, I say of Silence",
2674,"Qu’i ert de moult grant abstinence,","whose restraint was so great,","showed such great forbearance,",,"that he had such great abstinence,",,"that he had such great abstinence,",
2675,Que ses pensers le tormentoit,"that his thoughts tormented him,","for his thoughts tormented him,",,"that his thoughts tormented him,",,"that his thoughts tormented him,",
2676,Et il le sentoit et sofroit.,and he felt it and suffered from it.,and he felt this and suffered from it.,,and he felt them and suffered from them.,,and he felt them and suffered from them.,
2677,Et tols jors ert pres a contraire,Every day he had to do the opposite,He was always ready to go against,,And every day he was ready to do contrary,,And every day he was ready to do contrary,
2678,A cho que ses cuers voloit faire.,of what his heart wanted to do;,"what his heart wanted him to do,",,to that which his heart wanted to do.,,to that which his heart found necessary.,
2679,Et qui ouevre contre voloir,and he who works contrary,and whoever works against his will,,And he who works against his will,,And he who works against his will,
2680,Soventes fois l’estuet doloir.,to his own will must often grieve.,finds himself often in a state of unhappiness.,,oftentimes suffers himself.,,oftentimes suffers himself still.,
2681,Silences ot le cuer diviers.,Silence’s heart was divided.,Silence’s heart was divided against itself.,,Silence had a divergent heart.,,Silence's heart was bitter.,
2682,"Cho fu li dozimes iviers,",This was his twelfth winter:,It was the twelfth winter;,,This was his twelfth winter.,,This was his twelfth winter.,
2683,"Li ans dozimes est entrés,",the twelfth year had arrived,The twelfth year had begun,,The twelfth year had begun,,The twelfth year was entered,
2684,Des qu’il fu primes engenrés.,since he was first engendered.,since he first came into being.,,since he was first engendered.,,since he was first engendered.,
2685,"Bien ert cruels, s’ert bials et pros,","He was stern, and fair, and valiant,","The winter was cruel; he was lovely and noble,",,"It was certainly cruel; but he was fair and proud,",,"It was certainly cruel; but he was fair and proud,",
2686,"Larges, courtois, amés de tols.","generous, courtly, loved by everyone.","generous, courteous, beloved by everyone.",,"generous, courteous, loved by all.",,"generous, courteous, loved by all around.",
2687,".ii. jors u .iii. mest o le pere,","Two or three days he lived with his father,",He would spend two or three days with his father,,"Two days or three he would be with father,",,"Two days or three he would be with father,",
2688,"Quant il voloit, et o la mere.","When he wished, and with his mother.","whenever he wishes, or with his mother.",,"when he wanted, or with mother.",,"when he wanted, or with mother.",
